Source,Author,Title,Description,URL,Post_Year,Post_Month,Post_Day,Post_Time,Post
NPR,Kirk Siegler,Trump picks North Dakota Gov. Doug Burgum to lead the Interior Department,Burgum ran in the 2024 Republican presidential primary. He then became a vocal supporter of Preesident-elect Donald Trump and was shortlisted for the GOP vice presidential nomination.,https://www.npr.org/2024/11/14/g-s1-34190/trump-interior-department-doug-burgum-north-dakota-governor,2024,11,15,AM,"President-elect Donald Trump said Thursday night that he will nominate North Dakota Gov. Doug Burgum to be secretary of the Department of the Interior.
""He's going to head the Department of Interior… [+3595 chars]"
Fast Company,Chris Stokel-Walker,How long will Elon Musk and Donald Trump’s lovefest last?,"Two massive egos and two idiosyncratic entrepreneurs have joined forces. That’s not always a recipe for success.

The bromance between Donald Trump and Elon Musk is one of the strangest outcomes of the 2024 presidential election cycle, with Musk stumping for …",https://www.fastcompany.com/91228113/how-long-will-elon-musk-and-donald-trumps-lovefest-last,2024,11,13,PM,"The bromance between Donald Trump and Elon Musk is one of the strangest outcomes of the 2024 presidential election cycle, with Musk stumping for Trump on the latters successful presidential campaign,… [+2447 chars]"
BBC News,,How US election fraud claims changed as Trump won,Both Trump fans and Harris supporters baselessly claimed large-scale voter fraud in Tuesday's election.,https://www.bbc.com/news/articles/cy9j8r8gg0do,2024,11,9,AM,"In the build-up to Tuesdays US election, claims of voter fraud flooded social media - but as Donald Trumps victory crystallised, the chatter largely subsided.
The claims didnt stop entirely, however… [+6651 chars]"
BBC News,,Meet the DIY group for men fixing loneliness and loss,Group that focuses on DIY projects is oversubscribed by men of all ages who want to avoid loneliness.,https://www.bbc.com/news/articles/c1wje3lnw4lo,2024,11,2,AM,"Stuart Gregory (left) and Bob Miles (right) were two of Wharfedale Men's Shed founder members in 2018 
""I don't know where I'd be if I hadn't come to The Shed,"" 72-year-old Bob Emblin reflects. ""Thi… [+5632 chars]"
Business Insider,Madeline Berg,Sam Altman is getting into the transition team game — for San Francisco's newly elected mayor,OpenAI CEO Sam Altman has been chosen to cochair the transition team for for San Francisco mayor-elect Daniel Lurie.,https://www.businessinsider.com/sam-altman-tapped-san-francisco-mayor-daniel-lurie-transition-team-2024-11,2024,11,18,PM,"Sam Altman has been tapped to cochair San Francisco's mayor-elect's transition team.Mike Coppola/Getty Images
<ul><li>Sam Altman has been tapped to cochair the transition team for San Francisco's ma… [+3105 chars]"
Time,J. Jacob Calhoun / Made by History,What Democrats Can Learn from America’s First Black Voters,"After the Civil War, Black voters faced danger and violence—and they fought for political power against all odds.",https://time.com/7176913/first-black-voters/,2024,11,15,PM,"Following Kamala Harris defeat and the GOPs congressional successes in the 2024 elections, many Democrats are expressing not only rage and frustration, but fear. Donald Trumps return to the presidenc… [+8045 chars]"
NPR,Jeongyoon Han,Vice presidents often run for president. Making it there has been a leap,"While the office of vice president is the second-highest position in the government, making it to the Oval Office has historically been a leap.",https://www.npr.org/2024/11/04/g-s1-31927/vice-presidents-run-president-history,2024,11,5,AM,"Kamala Harris joins a list of vice presidents who have set their sights on the presidency. But making it to the highest position in the government has been a different story. 
Vice presidents are pr… [+3421 chars]"
NPR,Rachel Treisman,Trump is hoping to win non-consecutive terms. Only one president has done it,"If reelected, Trump would only be the second president to serve non-consecutive terms after Grover Cleveland in the late 1800s. Here's a look at how that happened — and who else has tried.",https://www.npr.org/2024/11/04/g-s1-32048/grover-cleveland-trump-non-consecutive-terms,2024,11,4,PM,"If Trump wins reelection, he would be the second president in U.S. history to serve non-consecutive terms.
The first was Grover Cleveland, who did two stints in the White House from 1885-1889 and 18… [+3721 chars]"
NPR,The Associated Press,Puerto Rico holds general election that promises to be historic,Puerto Rico is holding elections that will be historic regardless of which of the top two gubernatorial candidates wins.,https://www.npr.org/2024/11/05/g-s1-32338/puerto-rico-holds-general-election,2024,11,5,AM,"SAN JUAN, Puerto Rico Puerto Rico is holding elections that will be historic regardless of which of the top two gubernatorial candidates wins.
If Jenniffer González of the pro-statehood New Progress… [+3055 chars]"
NPR,Claudia Grisales,The next Congress will face an urgent to-do list. But how productive will it be?,"The 118th Congress is on track to be the least productive in modern history. If Washington enters a new season of divided government next year, as seems likely, Congress could get even less done.",https://www.npr.org/2024/11/06/g-s1-33023/congress-productivity-debt-taxes-immigration,2024,11,6,PM,"With the 118th Congress on track to be the least productive in modern history, lawmakers next year will face a new, low bar.
As of November, just 106 laws were enacted, less than a third of the 365 … [+2519 chars]"
